,0,1,2,3,4
0,通辽市质监局对全市餐具洗涤剂产品开展专项检查,2017年09月09日,http://www.cqn.com.cn/zj/content/2017-09/09/content_4855070.htm,中国质量新闻网,"厅《关于开展餐具洗涤剂产品专项整治工作方案的通知》的要求,通辽市质监局成立专案组,会同相关部门对全市餐具洗涤剂产品生产、加工、销售、使用情况进行了专项检查。...  百度快照"
1,"优客测测15款洗洁精测评,总有几款健康优品放心用",2017年09月04日,http://jingji.cyol.com/content/2017-09/04/content_16468759.htm,中国青年报,"优客测测15款洗洁精测评,总有几款健康优品放心用:洗洁精一直让“厨房大管家”左右为难,用少了怕洗不干净,用多了又担心残留在碗碟上。优恪旗下优客测测选择了...  百度快照"
2,江心沙路4天发生2场火灾 一洗涤剂厂起火幸无人伤亡,2017年09月05日,http://sh.sina.com.cn/news/s/2017-09-05/detail-ifykpysa3387582.shtml,新浪上海站,"昨天(4日)上午10点多,浦东江心沙路410号上海意达洗涤剂公司发生火灾,所幸未造成...上海医生吃泻药给自己做肠镜 呼吁:不要忽视肠镜检查 上港队长喜得千金成新晋奶...  百度快照"
3,张家界市质监局永定分局开展餐具洗涤剂专项整治行动,2017年08月09日,http://www.hunan.gov.cn/2015xxgk/szfzcbm_8834/tjbm_6721/hydt/201708/t20170822_4435794.html,湖南省人民政府,"前,张家界市质监局永定分局开展了餐具洗涤剂专项整治行动。  此次整治行动,重点针对违法生产、使用无生产许可证洗洁精的行为。共检查无证生产小作坊2家,经营性使用...  百度快照"
4,"传环保检查“一瓶洗洁精罚3万元”,顺德部分商家今天不敢开门营业,...",2016年12月28日,http://www.oeeee.com/mp/a/BAAFRD00002016122823164.html,奥一网,南都讯 记者岑龙基  环保检查一瓶洗洁精(不合格)罚3万元、电饭锅罚一万多元、没后门也要罚一万元?佛山顺德容桂部分商家听信了这种传言后不敢开门营业。容桂街道...  百度快照
5,网传容桂环保检查一瓶洗洁精罚3万元?政府通报:这是谣言!,2016年12月28日,http://kb.southcn.com/content/2016-12/28/content_162579793.htm,南方网,"下午2时,容桂街道办发布通报称,近日微博、微信上流传“环保检查一瓶洗洁精罚3万元、电饭锅罚万几元、没后门罚一万元、政府对所有餐饮娱乐服务行业开展大规模...  查看更多相关新闻>>  -  百度快照"
6,两批次进口纸巾洗洁精 菌落总数检测超标,2016年08月25日,http://news.163.com/16/0825/07/BVA166T600014AEE.html,网易,"台海网8月25日讯(海峡导报记者 香卉辉 通讯员 杜宁)最近,厦门市市场监督管理局对厦门自贸片区内线下销售的部分商品进行抽查,发现共两批次的进口纸巾和洗洁精菌落...  查看更多相关新闻>>  -  百度快照"
7,怀疑燃气泄漏?用洗洁精兑水来检测(图),2015年04月08日,http://news.163.com/15/0408/02/AML5754Q00014AED.html,网易,"重庆晨报永川读本讯 记者 张梁 邓鑫 怀疑家里燃气泄漏,却不知该怎么检测。其实,只需要一杯清水,还有一点洗洁精,就能解决这个问题。近日,文曲路社区联合重庆永川...  查看更多相关新闻>>  -  百度快照"
8,男子患怪病天天喝洗洁精 身体检查一切正常,2016年08月19日,http://news.lznews.cn/shehui/201608/t20160819_10788047.html,鲁中网,"摘要: 在重庆市九龙坡区劳动一村家属区内有一位患有罕见怪病的男子,该男子每天都要喝洗洁精半瓶。 近日,记者了解到,在重庆市九龙坡区劳动一村家属区内有一位...  百度快照"
9,九龙坡一男子患怪病爱喝洗洁精 身体检查显示一切正常,2016年08月19日,http://news.chinaxiaokang.com/dujiazhuangao/2016/0819/61273.html,中国小康网,"7日,网上出现了一组男子喝洗洁精的图片,引起强烈反响。该男子叫张玥,家住重庆市九龙坡区劳动一村家属区,每天都要喝洗洁精半瓶,并且一喝就是4年,但去医院...  百度快照"
10,检查17家酒店 12家用的不合格洗洁精,2014年06月21日,http://news.sina.com.cn/c/2014-06-21/024330398794.shtml,新浪新闻,"华商报讯(记者马虎振)根据西安市质监局加强对商业场所洗洁精进行质量监督检查的要求,质监新城分局会同市质检院,对新城区内规模较大的17家酒店所用的洗洁精进行了...  查看更多相关新闻>>  -  百度快照"
11,食肆洗洁精不合格罚3万元?谣言!,2016年12月29日,http://news.xinhuanet.com/local/2016-12/29/c_129424326.htm,新华网,"食肆洗洁精不合格罚3万元?谣言!---昨日,容桂街道办及区环运局在第一时间发文辟谣,纷纷指出这些网络谣言不属实。甚至,还有流言称顺德大良、容桂过千人执法整治...  查看更多相关新闻>>  -  百度快照"
12,北京市大兴区质监局开展餐具洗涤剂专项监督检查,2016年09月19日,http://www.cqn.com.cn/zj/content/2016-09/19/content_3413821.htm,中国质量新闻网,"为保障消费者合法权益,进一步提升产品质量安全,质量月期间,北京市大兴区质监局开展了餐具洗涤剂专项监督检查。 执法人员认真核对企业相关资质,要求企业严格按照获证...  百度快照"
13,...分别用清水、盐水、碱水、淘米水、果蔬洗洁精浸泡清洗后检测 ...,2016年11月04日,http://tech.hexun.com/2016-11-04/186743173.html,和讯科技,"检测结果显示,用清水浸泡30分钟的洗菜方式去除农药残留效果最好;其次是用果蔬洗洁精浸泡清洗。用清水、盐水、碱水、淘米水浸泡15分钟,去除农残效果并不明显。 专家告...  查看更多相关新闻>>  -  百度快照"
14,苏州:检查发现“罕见”洗洁精 竟是无证无照“问题产品”,2015年12月01日,http://www.le.com/ptv/vplay/24112387.html,乐视视频,苏州:检查发现“罕见”洗洁精 竟是无证无照“问题产品”播放数:评论数: 类型:社会新闻 发布时间:2015-12-01 10:43:17 详细介绍: 苏州:检查发现“罕见”洗洁...  百度快照
15,你知道吗?“无残留”洗洁精并不等于“零残留”,2016年01月13日,http://n.cztv.com/news/11879091.html,新蓝网,"市面上的多数洗洁精都号称“无残留”、“不伤手”,最近某消费杂志向第三方权威检测机构送检了9款不同品牌的洗洁精,结果显示蓝月亮、立白等一些消费者耳熟能详的...  百度快照"
16,质检总局关于延长餐具洗涤剂产品企业生产许可包装转换过渡期的...,2014年07月09日,http://www.aqsiq.gov.cn/zjxw/zjxw/zjftpxw/201407/t20140709_417240.htm,国家质检总局,"从2015年1月1日起,各省(区、市)质量技术监督部门按照《办法》规定,对餐具洗涤剂获证企业包装情况开展检查,对仍不符合《办法》要求的生产企业进行查处,促进行业健康...  查看更多相关新闻>>  -  百度快照"
17,9款餐具果蔬洗洁精测评:比亚酶去农药残留值不达标,2016年01月11日,http://news.cnfol.com/xiaofei/20160111/22089192.shtml,中金在线,洗餐具 洗果蔬 哪款洗洁精更安全高效 9款餐具 果蔬洗洁精测评报告洗洁精虽然是厨房中最常用的日用品 但你 自己知道怎么挑选洗洁精吗 2015年10月 《消费者报道》...  查看更多相关新闻>>  -  百度快照
